name,chamber,state,district,sponsored_bills,cosponsored_bills,bioguide_id,Agriculture_and_Food_self_proportion,Crime_and_Law_Enforcement_self_proportion,Culture_and_Recreation_self_proportion,Economy_and_Finance_self_proportion,Education_and_Social_Services_self_proportion,Environment_and_Natural_Resources_self_proportion,Government_Operations_and_Politics_self_proportion,Health_and_Healthcare_self_proportion,Immigration_and_Civil_Rights_self_proportion,National_Security_and_International_Affairs_self_proportion,Science__Technology__and_Communications_self_proportion,Transportation_and_Infrastructure_self_proportion,Agriculture_and_Food_across_all_proportion,Crime_and_Law_Enforcement_across_all_proportion,Culture_and_Recreation_across_all_proportion,Economy_and_Finance_across_all_proportion,Education_and_Social_Services_across_all_proportion,Environment_and_Natural_Resources_across_all_proportion,Government_Operations_and_Politics_across_all_proportion,Health_and_Healthcare_across_all_proportion,Immigration_and_Civil_Rights_across_all_proportion,National_Security_and_International_Affairs_across_all_proportion,Science__Technology__and_Communications_across_all_proportion,Transportation_and_Infrastructure_across_all_proportion,Agriculture_And_Food_state_self_proportion,Crime_And_Law_Enforcement_state_self_proportion,Culture_And_Recreation_state_self_proportion,Economy_And_Finance_state_self_proportion,Education_And_Social_Services_state_self_proportion,Environment_And_Natural_Resources_state_self_proportion,Government_Operations_And_Politics_state_self_proportion,Health_And_Healthcare_state_self_proportion,Immigration_And_Civil_Rights_state_self_proportion,National_Security_And_International_Affairs_state_self_proportion,Science_Technology_And_Communications_state_self_proportion,Transportation_And_Infrastructure_state_self_proportion,Agriculture_And_Food_state_national_proportion,Crime_And_Law_Enforcement_state_national_proportion,Culture_And_Recreation_state_national_proportion,Economy_And_Finance_state_national_proportion,Education_And_Social_Services_state_national_proportion,Environment_And_Natural_Resources_state_national_proportion,Government_Operations_And_Politics_state_national_proportion,Health_And_Healthcare_state_national_proportion,Immigration_And_Civil_Rights_state_national_proportion,National_Security_And_International_Affairs_state_national_proportion,Science_Technology_And_Communications_state_national_proportion,Transportation_And_Infrastructure_state_national_proportion
"Reed, Jack",Senate,Rhode Island,NaN,1105,4644,R000122,0.04694048616932104,0.05280804694048617,0.030176026823134954,0.2514668901927913,0.1316010058675608,0.09220452640402348,0.06538139145012574,0.15255658005029338,0.06789606035205364,0.08466051969823973,0.0,0.024308466051969825,0.0064449303717343765,0.005030341743851804,0.008323699421965319,0.010755386656150287,0.009975220789122562,0.005445544554455445,0.003800984357487452,0.007186290768380321,0.005137963843958135,0.002841788357108691,0.0,0.006331877729257642,0.0835913312693498,0.0588235294117647,0.3761609907120743,0.0696594427244582,0.0170278637770897,0.0325077399380804,0.0789473684210526,0.0216718266253869,0.0139318885448916,0.0185758513931888,0.0139318885448916,0.2151702786377708,0.0338983050847457,0.012265978050355,0.0254396984924623,0.0187578157565652,0.0062642369020501,0.010880829015544,0.0061195104391648,0.0109289617486338,0.0046583850931677,0.014760147601476,0.0117493472584856,0.0461794019933554
"Britt, Katie Boyd",Senate,Alabama,NaN,20,367,B001319,0.026595744680851064,0.026595744680851064,0.01595744680851064,0.16843971631205676,0.07446808510638298,0.1170212765957447,0.1595744680851064,0.09810874704491727,0.0768321513002364,0.17553191489361702,0.03959810874704492,0.021276595744680854,0.005178961905857982,0.0035931012456084316,0.006242774566473989,0.010217617323342773,0.00800559120655696,0.009801980198019802,0.013157253545148873,0.006554528942588645,0.008246114811290834,0.008356545961002786,0.011619840443981963,0.007860262008733625,0.02291917973462,0.1568154402895054,0.106151990349819,0.0723763570566948,0.1218335343787696,0.0337756332931242,0.2533172496984318,0.06875753920386,0.0796139927623642,0.0217129071170084,0.0301568154402895,0.0325693606755126,0.0119271814187068,0.0419625564880568,0.0092127303182579,0.0250104210087536,0.0575170842824601,0.0145077720207253,0.0251979841612671,0.0444964871194379,0.0341614906832298,0.022140221402214,0.0326370757180156,0.008970099667774
"Diaz-Balart, Mario",House of Representatives,Florida,26.0,99,2103,D000600,0.010238907849829351,0.06598407281001137,0.0,0.12514220705346984,0.08418657565415244,0.07394766780432309,0.19340159271899884,0.030716723549488054,0.010238907849829351,0.37542662116040953,0.0,0.030716723549488054,0.0002463189008703268,0.0012542167632557737,0.0,0.0011014759778102657,0.001323887219121225,0.0010724125983732325,0.002574743282949141,0.0002779751057849708,0.0001967514155171283,0.002816829274538424,0.0,0.0012711864406779662,0.0322147651006711,0.0510067114093959,0.1664429530201342,0.1073825503355704,0.0536912751677852,0.1194630872483221,0.261744966442953,0.0308724832214765,0.0657718120805369,0.0093959731543624,0.0134228187919463,0.0885906040268456,0.0150659133709981,0.012265978050355,0.0129815745393634,0.0333472280116715,0.0227790432801822,0.0461139896373057,0.023398128149748,0.0179547228727556,0.0253623188405797,0.008610086100861,0.0130548302872062,0.0219269102990033
"Lopez, Greg",House of Representatives,Colorado,4.0,5,54,L000604,0.0,0.0703125,0.0,0.10546875,0.0,0.2109375,0.19140625,0.03515625,0.3515625,0.03515625,0.0,0.0,0.0,0.0003892396851483436,0.0,0.0002703622854625198,0.0,0.0008909273894177625,0.0007421318874382819,9.265836859499027e-05,0.001967514155171283,7.682261657832066e-05,0.0,0.0,0.0322108345534407,0.0761346998535871,0.4816983894582723,0.0527086383601757,0.0204978038067349,0.0732064421669106,0.1068814055636896,0.0190336749633967,0.0366032210834553,0.0117130307467057,0.0190336749633967,0.0702781844802342,0.0138104205900816,0.0167850225952227,0.0344430485762144,0.0150062526052521,0.0079726651480637,0.0259067357512953,0.0087592992560595,0.0101483216237314,0.0129399585921325,0.009840098400984,0.0169712793733681,0.0159468438538205
"Cramer, Kevin",Senate,North Dakota,NaN,214,2944,C001096,0.030690537084398978,0.06990622335890878,0.023017902813299233,0.18670076726342713,0.0545609548167093,0.12830349531116794,0.05924978687127025,0.09974424552429668,0.09974424552429668,0.20886615515771526,0.011508951406649617,0.027706734867860187,0.00828633904937277,0.01309485787288406,0.012485549132947978,0.01570286451797942,0.008132664082851515,0.014900990099009902,0.006773549047317383,0.009239516702203271,0.014843006660323503,0.013786894009735236,0.004682622268470343,0.014192139737991267,0.0398936170212766,0.0864361702127659,0.2792553191489361,0.0638297872340425,0.0279255319148936,0.0425531914893617,0.2672872340425531,0.0252659574468085,0.0412234042553191,0.0239361702127659,0.026595744680851,0.0757978723404255,0.0188323917137476,0.0209812782440284,0.0219849246231155,0.0200083368070029,0.0119589977220956,0.016580310880829,0.0241180705543556,0.0148321623731459,0.0160455486542443,0.022140221402214,0.0261096605744125,0.0189368770764119
"Daines, Steve",Senate,Montana,NaN,538,2167,D000618,0.026404023470243086,0.05364626990779548,0.012154233025984913,0.1550712489522213,0.06957250628667226,0.17015926236378878,0.07041072925398156,0.10352053646269908,0.1173512154233026,0.19153394803017604,0.018860016764459347,0.011316010058675609,0.007250546668201174,0.010220376876397317,0.0067052023121387284,0.013264976875918688,0.010547048732448059,0.0200990099009901,0.008186735539203743,0.009752823185659006,0.017760862670472565,0.012858388902957148,0.007804370447450572,0.0058951965065502186,0.0338164251207729,0.038647342995169,0.5925925925925926,0.0499194847020934,0.0112721417069243,0.0885668276972624,0.0418679549114331,0.0112721417069243,0.0144927536231884,0.0096618357487922,0.0144927536231884,0.0933977455716586,0.0131826741996233,0.0077469335054874,0.0385259631490787,0.0129220508545227,0.0039863325740318,0.0284974093264248,0.0031197504199664,0.0054644808743169,0.0046583850931677,0.007380073800738,0.0117493472584856,0.0192691029900332
"Duckworth, Tammy",Senate,Illinois,NaN,459,2742,D000622,0.00755984880302394,0.0856782864342713,0.01133977320453591,0.13271734565308696,0.08021839563208737,0.06971860562788745,0.08189836203275935,0.19655606887862243,0.12347753044939103,0.12725745485090298,0.02351952960940781,0.06005879882402353,0.0020715847623431925,0.01628872564675822,0.006242774566473989,0.011329007277811637,0.012135459686129996,0.008217821782178218,0.00950246089371863,0.01847903340440654,0.018648905803996196,0.008525365071326075,0.009712105445716266,0.031222707423580787,0.0509641873278236,0.1005509641873278,0.1763085399449036,0.1019283746556473,0.0289256198347107,0.0454545454545454,0.2713498622589532,0.0358126721763085,0.0550964187327823,0.0316804407713498,0.0192837465564738,0.0826446280991735,0.0232266164469554,0.0235635894125242,0.0134003350083752,0.0308461859107961,0.0119589977220956,0.0170984455958549,0.0236381089512838,0.0202966432474629,0.020703933747412,0.028290282902829,0.0182767624020887,0.0199335548172757
"Durbin, Richard J.",Senate,Illinois,NaN,1952,9955,D000563,0.04184100418410042,0.15770840038622466,0.01448342452526553,0.07853234631477309,0.14612166076601227,0.058899259736079825,0.08496942388155777,0.1136144190537496,0.10395880270357258,0.1638236240746701,0.02735757965883489,0.008690054715159318,0.014961445505811946,0.03912488022995848,0.010404624277456647,0.008747714480335567,0.02884554291886397,0.00905940594059406,0.012864870133034452,0.013938245281528863,0.020488423723437992,0.014321487859092315,0.014741588622962192,0.0058951965065502186,0.0509641873278236,0.1005509641873278,0.1763085399449036,0.1019283746556473,0.0289256198347107,0.0454545454545454,0.2713498622589532,0.0358126721763085,0.0550964187327823,0.0316804407713498,0.0192837465564738,0.0826446280991735,0.0232266164469554,0.0235635894125242,0.0134003350083752,0.0308461859107961,0.0119589977220956,0.0170984455958549,0.0236381089512838,0.0202966432474629,0.020703933747412,0.028290282902829,0.0182767624020887,0.0199335548172757
"Crapo, Mike",Senate,Idaho,NaN,583,4105,C000880,0.028037383177570097,0.060747663551401876,0.024402907580477674,0.14485981308411217,0.07476635514018692,0.19366562824506753,0.08151609553478713,0.061786085150571136,0.07009345794392524,0.20197300103842158,0.044132917964693666,0.014018691588785048,0.006214754287029578,0.009342063238581923,0.010867052023121387,0.010002509590219769,0.009149247093207954,0.018465346534653468,0.007650699283660641,0.0046987285793255945,0.008563273073263558,0.010945105652626543,0.014741588622962192,0.0058951965065502186,0.0244215938303341,0.0874035989717223,0.1838046272493573,0.0424164524421593,0.0732647814910025,0.0347043701799485,0.2879177377892031,0.0822622107969151,0.1079691516709511,0.0295629820051413,0.0218508997429305,0.0244215938303341,0.0119271814187068,0.0219496449322143,0.0149706867671691,0.0137557315548145,0.0324601366742596,0.0139896373056994,0.0268778497720182,0.0499609679937548,0.0434782608695652,0.028290282902829,0.0221932114882506,0.0063122923588039
"Gimenez, Carlos A.",House of Representatives,Florida,28.0,46,620,G000593,0.006122448979591837,0.055102040816326525,0.0,0.11020408163265305,0.06258503401360543,0.08095238095238096,0.1054421768707483,0.018367346938775512,0.0489795918367347,0.3891156462585034,0.03809523809523809,0.08503401360544217,0.0002463189008703268,0.001751578583167546,0.0,0.0016221737127751186,0.00164591383998855,0.001963339987790995,0.0023475600521006873,0.0002779751057849708,0.0015740113241370264,0.004882504075866601,0.00371599203715992,0.005885122410546139,0.0322147651006711,0.0510067114093959,0.1664429530201342,0.1073825503355704,0.0536912751677852,0.1194630872483221,0.261744966442953,0.0308724832214765,0.0657718120805369,0.0093959731543624,0.0134228187919463,0.0885906040268456,0.0150659133709981,0.012265978050355,0.0129815745393634,0.0333472280116715,0.0227790432801822,0.0461139896373057,0.023398128149748,0.0179547228727556,0.0253623188405797,0.008610086100861,0.0130548302872062,0.0219269102990033
